step,overall_subtask_rate_percent,overall_success_rate_percent,total_episodes,num_trials_per_task,Ideal_subtask_rate_percent,Memory_Execution_subtask_rate_percent,Memory_Exploration_subtask_rate_percent,Mix_subtask_rate_percent,Observation_Mismatching_subtask_rate_percent,Random_Disturbance_subtask_rate_percent,run_id,path
0,16.648045,20.000000,300,5,13.684211,19.423077,16.806723,17.708333,15.454545,15.263158,EVAL-robocerebra-pi0-2026_03_31-15_53_46,/Users/felixdoublet/Downloads/EVAL-robocerebra-pi0-2026_03_31-15_53_46_results.json
5000,17.690875,23.333333,60,1,15.789474,20.192308,20.168067,17.708333,15.151515,14.473684,EVAL-robocerebra-pi0-2026_04_12-15_50_27--ckpt_005000,/Users/felixdoublet/Downloads/pi0_rlds_200k_sweep_json/EVAL-robocerebra-pi0-2026_04_12-15_50_27--ckpt_005000_results.json
10000,18.994413,20.000000,60,1,17.105263,18.269231,22.689076,20.833333,15.151515,17.105263,EVAL-robocerebra-pi0-2026_04_12-16_42_51--ckpt_010000,/Users/felixdoublet/Downloads/pi0_rlds_200k_sweep_json/EVAL-robocerebra-pi0-2026_04_12-16_42_51--ckpt_010000_results.json
15000,18.621974,23.333333,60,1,15.789474,22.115385,20.168067,19.791667,13.636364,17.105263,EVAL-robocerebra-pi0-2026_04_12-17_36_30--ckpt_015000,/Users/felixdoublet/Downloads/pi0_rlds_200k_sweep_json/EVAL-robocerebra-pi0-2026_04_12-17_36_30--ckpt_015000_results.json
20000,19.180633,20.000000,60,1,13.157895,22.115385,21.008403,20.833333,19.696970,15.789474,EVAL-robocerebra-pi0-2026_04_12-18_28_58--ckpt_020000,/Users/felixdoublet/Downloads/pi0_rlds_200k_sweep_json/EVAL-robocerebra-pi0-2026_04_12-18_28_58--ckpt_020000_results.json
25000,19.925512,21.666667,60,1,18.421053,24.038462,22.689076,19.791667,16.666667,14.473684,EVAL-robocerebra-pi0-2026_04_12-19_21_54--ckpt_025000,/Users/felixdoublet/Downloads/pi0_rlds_200k_sweep_json/EVAL-robocerebra-pi0-2026_04_12-19_21_54--ckpt_025000_results.json
30000,18.435754,18.333333,60,1,14.473684,23.076923,22.689076,18.750000,12.121212,14.473684,EVAL-robocerebra-pi0-2026_04_12-20_14_47--ckpt_030000,/Users/felixdoublet/Downloads/pi0_rlds_200k_sweep_json/EVAL-robocerebra-pi0-2026_04_12-20_14_47--ckpt_030000_results.json
35000,17.318436,18.333333,60,1,13.157895,19.230769,20.168067,15.625000,16.666667,17.105263,EVAL-robocerebra-pi0-2026_04_12-21_07_49--ckpt_035000,/Users/felixdoublet/Downloads/pi0_rlds_200k_sweep_json/EVAL-robocerebra-pi0-2026_04_12-21_07_49--ckpt_035000_results.json
40000,17.877095,18.333333,60,1,13.157895,20.192308,21.848739,16.666667,15.151515,17.105263,EVAL-robocerebra-pi0-2026_04_12-22_00_38--ckpt_040000,/Users/felixdoublet/Downloads/pi0_rlds_200k_sweep_json/EVAL-robocerebra-pi0-2026_04_12-22_00_38--ckpt_040000_results.json
45000,19.925512,21.666667,60,1,14.473684,24.038462,21.008403,19.791667,16.666667,21.052632,EVAL-robocerebra-pi0-2026_04_12-22_53_20--ckpt_045000,/Users/felixdoublet/Downloads/pi0_rlds_200k_sweep_json/EVAL-robocerebra-pi0-2026_04_12-22_53_20--ckpt_045000_results.json
50000,16.945996,18.333333,60,1,11.842105,21.153846,17.647059,18.750000,15.151515,14.473684,EVAL-robocerebra-pi0-2026_04_12-23_46_08--ckpt_050000,/Users/felixdoublet/Downloads/pi0_rlds_200k_sweep_json/EVAL-robocerebra-pi0-2026_04_12-23_46_08--ckpt_050000_results.json
55000,17.504655,21.666667,60,1,11.842105,23.076923,19.327731,17.708333,12.121212,17.105263,EVAL-robocerebra-pi0-2026_04_13-00_38_47--ckpt_055000,/Users/felixdoublet/Downloads/pi0_rlds_200k_sweep_json/EVAL-robocerebra-pi0-2026_04_13-00_38_47--ckpt_055000_results.json
60000,18.063315,16.666667,60,1,10.526316,20.192308,22.689076,15.625000,16.666667,19.736842,EVAL-robocerebra-pi0-2026_04_13-01_31_15--ckpt_060000,/Users/felixdoublet/Downloads/pi0_rlds_200k_sweep_json/EVAL-robocerebra-pi0-2026_04_13-01_31_15--ckpt_060000_results.json
65000,18.621974,20.000000,60,1,14.473684,21.153846,21.008403,19.791667,15.151515,17.105263,EVAL-robocerebra-pi0-2026_04_13-02_24_00--ckpt_065000,/Users/felixdoublet/Downloads/pi0_rlds_200k_sweep_json/EVAL-robocerebra-pi0-2026_04_13-02_24_00--ckpt_065000_results.json
70000,17.132216,15.000000,60,1,10.526316,20.192308,20.168067,17.708333,15.151515,15.789474,EVAL-robocerebra-pi0-2026_04_13-03_16_15--ckpt_070000,/Users/felixdoublet/Downloads/pi0_rlds_200k_sweep_json/EVAL-robocerebra-pi0-2026_04_13-03_16_15--ckpt_070000_results.json
75000,16.945996,20.000000,60,1,13.157895,19.230769,21.008403,16.666667,13.636364,14.473684,EVAL-robocerebra-pi0-2026_04_13-04_08_43--ckpt_075000,/Users/felixdoublet/Downloads/pi0_rlds_200k_sweep_json/EVAL-robocerebra-pi0-2026_04_13-04_08_43--ckpt_075000_results.json
80000,18.063315,20.000000,60,1,14.473684,22.115385,19.327731,16.666667,16.666667,17.105263,EVAL-robocerebra-pi0-2026_04_13-05_01_12--ckpt_080000,/Users/felixdoublet/Downloads/pi0_rlds_200k_sweep_json/EVAL-robocerebra-pi0-2026_04_13-05_01_12--ckpt_080000_results.json
85000,17.690875,18.333333,60,1,11.842105,25.000000,18.487395,17.708333,16.666667,13.157895,EVAL-robocerebra-pi0-2026_04_13-05_53_44--ckpt_085000,/Users/felixdoublet/Downloads/pi0_rlds_200k_sweep_json/EVAL-robocerebra-pi0-2026_04_13-05_53_44--ckpt_085000_results.json
90000,18.994413,20.000000,60,1,13.157895,23.076923,23.529412,18.750000,15.151515,15.789474,EVAL-robocerebra-pi0-2026_04_13-06_46_04--ckpt_090000,/Users/felixdoublet/Downloads/pi0_rlds_200k_sweep_json/EVAL-robocerebra-pi0-2026_04_13-06_46_04--ckpt_090000_results.json
95000,18.063315,18.333333,60,1,14.473684,22.115385,20.168067,15.625000,16.666667,17.105263,EVAL-robocerebra-pi0-2026_04_13-07_38_50--ckpt_095000,/Users/felixdoublet/Downloads/pi0_rlds_200k_sweep_json/EVAL-robocerebra-pi0-2026_04_13-07_38_50--ckpt_095000_results.json
100000,19.180633,21.666667,60,1,15.789474,23.076923,21.848739,17.708333,16.666667,17.105263,EVAL-robocerebra-pi0-2026_04_13-08_31_13--ckpt_100000,/Users/felixdoublet/Downloads/pi0_rlds_200k_sweep_json/EVAL-robocerebra-pi0-2026_04_13-08_31_13--ckpt_100000_results.json
105000,17.690875,20.000000,60,1,13.157895,22.115385,19.327731,14.583333,16.666667,18.421053,EVAL-robocerebra-pi0-2026_04_13-09_23_31--ckpt_105000,/Users/felixdoublet/Downloads/pi0_rlds_200k_sweep_json/EVAL-robocerebra-pi0-2026_04_13-09_23_31--ckpt_105000_results.json
110000,18.435754,21.666667,60,1,14.473684,18.269231,20.168067,21.875000,16.666667,17.105263,EVAL-robocerebra-pi0-2026_04_13-10_16_07--ckpt_110000,/Users/felixdoublet/Downloads/pi0_rlds_200k_sweep_json/EVAL-robocerebra-pi0-2026_04_13-10_16_07--ckpt_110000_results.json
115000,16.201117,16.666667,60,1,10.526316,20.192308,17.647059,13.541667,15.151515,18.421053,EVAL-robocerebra-pi0-2026_04_13-11_08_30--ckpt_115000,/Users/felixdoublet/Downloads/pi0_rlds_200k_sweep_json/EVAL-robocerebra-pi0-2026_04_13-11_08_30--ckpt_115000_results.json
120000,17.318436,16.666667,60,1,11.842105,23.076923,15.966387,16.666667,15.151515,19.736842,EVAL-robocerebra-pi0-2026_04_13-12_01_10--ckpt_120000,/Users/felixdoublet/Downloads/pi0_rlds_200k_sweep_json/EVAL-robocerebra-pi0-2026_04_13-12_01_10--ckpt_120000_results.json
125000,18.063315,20.000000,60,1,11.842105,21.153846,20.168067,16.666667,18.181818,18.421053,EVAL-robocerebra-pi0-2026_04_13-12_55_51--ckpt_125000,/Users/felixdoublet/Downloads/pi0_rlds_200k_sweep_json/EVAL-robocerebra-pi0-2026_04_13-12_55_51--ckpt_125000_results.json
